country,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,79526,78252,83073,80669,83270,83975,83386,91599,91962
Belgium,109334,104755,110541,108097,109666,110693,108783,126896,112331
Bulgaria,104345,108952,110117,107580,109791,108526,108083,124735,148995
Czechia,109160,105665,111173,107750,111443,112920,112362,129289,139891
Denmark,52470,51340,52555,52824,53261,55232,53958,54645,57152
Estonia,15244,15484,15243,15392,15543,15751,15401,15811,18587
Finland,51472,52186,52492,53923,53722,54527,53949,55488,57659
France,569365,559435,593807,594005,606410,609747,613388,669064,661779
Germany,893825,868356,925200,910902,932272,954874,939520,985572,1023687
Iceland,2154,2049,2178,2309,2238,2254,2275,2304,2333
Italy,600744,598364,647571,615261,649061,633133,634417,740317,701346
Latvia,28691,28466,28478,28580,28757,28820,27719,28854,34600
Liechtenstein,246,268,252,271,249,274,263,319,271
Lithuania,41511,40252,41776,41106,40142,39574,38281,43547,47746
Luxembourg,3822,3841,3983,3967,4263,4318,4283,4609,4489
Malta,3236,3270,3442,3342,3571,3688,3688,4084,4163
Netherlands,141245,139223,147134,148997,150214,153363,151885,168678,170972
Norway,41131,40369,40676,40726,40774,40840,40684,40611,42002
Poland,387312,376467,394921,388009,402852,414200,409709,477355,519517
Portugal,106554,104843,108539,110573,109758,113051,111793,123358,124802
Serbia,100300,101247,103678,100834,103722,101655,101458,116850,136622
Slovakia,52089,51346,53826,52351,53914,54293,53234,59089,73461
Slovenia,19334,18886,19834,19689,20509,20485,20588,24016,23261
Spain,388600,393734,420408,408231,422037,425153,416102,492447,449149
Sweden,90402,88976,90907,90982,91972,92185,88766,98124,91958
Switzerland,64961,63938,67606,64964,66971,67088,67780,76195,71192
